HUC_values,THG,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
5120104,3.0432,1192723.933,-339142.7734,1192723.933,-339142.7734
5120106,2.02135,1136853.134,-349014.4275,1136853.134,-349014.4275
5120107,1.16475,1156792.205,-416499.2338,1156792.205,-416499.2338
5120108,2.166,1087200.624,-457705.081,1087200.624,-457705.081
5120110,0.875,1126256.137,-457273.4195,1126256.137,-457273.4195
5120111,3.7694,1073583.206,-550505.6386,1073583.206,-550505.6386
5120114,0.762,1009823.614,-624252.5079,1009823.614,-624252.5079
5120115,0.988,996032.1219,-667338.9775,996032.1219,-667338.9775
5120201,6.81355,1195043.498,-462554.3095,1195043.498,-462554.3095
5120202,4.3108,1124636.134,-585793.8349,1124636.134,-585793.8349
5120203,1.396,1126175.199,-518861.5941,1126175.199,-518861.5941
5120204,1.5545,1216155.734,-488560.5828,1216155.734,-488560.5828
5120206,1.49015,1228220.309,-543332.1226,1228220.309,-543332.1226
5120207,2.306,1240486.76,-574389.0751,1240486.76,-574389.0751
5120208,1.5887,1166936.437,-593247.4709,1166936.437,-593247.4709
5120209,3.978,1134663.786,-648418.8665,1134663.786,-648418.8665
5140104,1.95495,1205312.917,-659904.1104,1205312.917,-659904.1104
5140203,1.645,1028808.205,-766949.7985,1028808.205,-766949.7985
5140204,1.07,1010799.432,-732298.7248,1010799.432,-732298.7248
6020004,1.38,1325891.524,-953679.9957,1325891.524,-953679.9957
6030002,3.4,1219986.614,-1050421.661,1219986.614,-1050421.661
6040004,1.45,1122304.075,-972120.404,1122304.075,-972120.404
7010102,0.378264057,426076.5119,252300.3824,426076.5119,252300.3824
7010103,0.355157706,502994.6246,252019.7816,502994.6246,252019.7816
7010105,0.209958972,444425.7274,209624.0178,444425.7274,209624.0178
7010106,0.479979917,394389.485,202002.9502,394389.485,202002.9502
7010107,0.290102427,367218.9444,171650.6719,367218.9444,171650.6719
7010203,0.216780586,472570.1102,68083.60758,472570.1102,68083.60758
7010204,0.638492346,434006.9186,41461.41035,434006.9186,41461.41035
7010205,5.241722807,439807.9539,3587.546761,439807.9539,3587.546761
7010206,0.324148077,532102.0013,26092.82388,532102.0013,26092.82388
7020002,3.196549809,310854.5119,53349.93019,316216.1432,89757.43296
7020004,1.81230643,351793.893,-16998.71472,351793.893,-16998.71472
7020005,0.894222696,348966.6957,61845.50151,348966.6957,61845.50151
7020011,2.019120766,500513.2793,-99046.55059,500513.2793,-99046.55059
7020012,0.55054441,485958.05,-24416.09111,485958.05,-24416.09111
7030001,0.676730634,604059.5101,146459.2197,604059.5101,146459.2197
