QW_SEQ,CEN,SULFATE
4905,FALSE,3.1
5097,FALSE,3.1
3846,FALSE,3.108
3793,FALSE,3.119
2743,FALSE,3.13376538
4791,FALSE,3.14
4215,FALSE,3.145
4167,FALSE,3.156
3807,FALSE,3.158
3555,FALSE,3.17
2736,FALSE,3.17838525
2861,FALSE,3.19740513
4058,FALSE,3.199
4337,FALSE,3.2
4910,FALSE,3.2
4631,FALSE,3.2
4639,FALSE,3.2
4793,FALSE,3.2
5100,FALSE,3.2
3780,FALSE,3.203
3347,FALSE,3.22
5213,FALSE,3.22
2772,FALSE,3.22324527
4152,FALSE,3.224
3849,FALSE,3.227
4946,FALSE,3.2381826
2737,FALSE,3.23827866
3738,FALSE,3.24
2741,FALSE,3.24452256
3558,FALSE,3.25
2866,FALSE,3.25427265
5162,FALSE,3.26
2800,FALSE,3.2655597
3014,FALSE,3.28
5104,FALSE,3.3
4140,FALSE,3.309
3011,FALSE,3.33
3938,FALSE,3.332
3808,FALSE,3.336
2802,FALSE,3.33976605
3834,FALSE,3.343
3835,FALSE,3.344
2856,FALSE,3.35993865
4213,FALSE,3.372
4054,FALSE,3.374
4144,FALSE,3.38
3839,FALSE,3.388
2806,FALSE,3.38942907
4214,FALSE,3.398
4335,FALSE,3.4
2790,FALSE,3.40206096
3789,FALSE,3.403
2762,FALSE,3.41094651
3811,FALSE,3.42
2759,FALSE,3.42766095
3809,FALSE,3.429
2777,FALSE,3.43087896
3843,FALSE,3.433
2776,FALSE,3.43726695
2798,FALSE,3.44528796
3798,FALSE,3.458
2977,FALSE,3.46
3792,FALSE,3.465
4047,FALSE,3.478
2785,FALSE,3.48760239
2865,FALSE,3.48813072
3890,FALSE,3.49
3859,FALSE,3.5
3916,FALSE,3.5
4230,FALSE,3.508
4183,FALSE,3.51
3786,FALSE,3.512
4945,FALSE,3.51219375
3012,FALSE,3.52
3917,FALSE,3.53
3550,FALSE,3.54
3841,FALSE,3.557
4227,FALSE,3.557
4165,FALSE,3.563
3854,FALSE,3.567
2744,FALSE,3.59970441
5059,FALSE,3.599998474
3749,FALSE,3.6
4171,FALSE,3.6
3810,FALSE,3.601
2811,FALSE,3.60210591
4736,FALSE,3.609
4055,FALSE,3.614
2715,FALSE,3.61819596
5083,FALSE,3.62
