QW_SEQ,CEN,P_HG
3510,FALSE,0.9982
4464,FALSE,0.999
3608,FALSE,1.0015
3729,FALSE,1.01
4301,FALSE,1.01
3723,FALSE,1.0141
4587,FALSE,1.016
3637,FALSE,1.0194
4263,FALSE,1.0297
3439,FALSE,1.03
4816,FALSE,1.0368
4283,FALSE,1.04
3709,FALSE,1.0425
5257,FALSE,1.0446
4140,FALSE,1.045
3641,FALSE,1.0476
4461,FALSE,1.048
3953,FALSE,1.0483
3954,FALSE,1.0483
3570,FALSE,1.052
5200,FALSE,1.0573
4002,FALSE,1.059
3982,FALSE,1.0608
4201,FALSE,1.063
4539,FALSE,1.064
4278,FALSE,1.0657
4594,FALSE,1.067
3549,FALSE,1.0686
3653,FALSE,1.0699
3440,FALSE,1.07
5199,FALSE,1.07
4193,FALSE,1.076
3566,FALSE,1.0806
4563,FALSE,1.081
4958,FALSE,1.0814
4295,FALSE,1.0854
3515,FALSE,1.0878
4535,FALSE,1.0881
3634,FALSE,1.0887
5205,FALSE,1.092
5221,FALSE,1.0976
3429,FALSE,1.1
4285,FALSE,1.1
3722,FALSE,1.1003
4468,FALSE,1.1003
4014,FALSE,1.11
3457,FALSE,1.1103
3453,FALSE,1.1157
3738,FALSE,1.1241
5105,FALSE,1.1266
3468,FALSE,1.1304
5145,FALSE,1.1304
4269,FALSE,1.135
4791,FALSE,1.1386
3428,FALSE,1.14
3661,FALSE,1.1465
3607,FALSE,1.1537
3463,FALSE,1.1546
4245,FALSE,1.1583
4271,FALSE,1.1587
4797,FALSE,1.1598
5140,FALSE,1.1645
3572,FALSE,1.1659
4803,FALSE,1.1667
3188,FALSE,1.17
5015,FALSE,1.1718
4330,FALSE,1.175
3990,FALSE,1.176
3874,FALSE,1.185
4310,FALSE,1.187
5209,FALSE,1.187
3869,FALSE,1.193
3622,FALSE,1.1982
4033,FALSE,1.21
3691,FALSE,1.2114
3875,FALSE,1.214
3552,FALSE,1.2142
4555,FALSE,1.218
3878,FALSE,1.2193
4572,FALSE,1.223
4265,FALSE,1.227
3736,FALSE,1.26
5123,FALSE,1.2617
3632,FALSE,1.2691
3666,FALSE,1.2701
3730,FALSE,1.2807
3472,FALSE,1.2819
3682,FALSE,1.2898
3734,FALSE,1.29
4329,FALSE,1.29
4248,FALSE,1.3048
5011,FALSE,1.306
4584,FALSE,1.3095
3422,FALSE,1.31
5198,FALSE,1.3229
4819,FALSE,1.3295
3638,FALSE,1.332
4297,FALSE,1.3371
4235,FALSE,1.3414
3635,FALSE,1.3431
4472,FALSE,1.345
3514,FALSE,1.3559
4786,FALSE,1.373
3530,FALSE,1.3769
3567,FALSE,1.3782
4321,FALSE,1.394
3499,FALSE,1.405
3601,FALSE,1.4115
3992,FALSE,1.4195
3522,FALSE,1.4244
4556,FALSE,1.425
3568,FALSE,1.4279
4956,FALSE,1.4291
5148,FALSE,1.4296
4554,FALSE,1.433
3991,FALSE,1.441
4597,FALSE,1.442
3883,FALSE,1.452
4273,FALSE,1.454
4275,FALSE,1.467
4322,FALSE,1.4694
3587,FALSE,1.4718
4296,FALSE,1.486
3477,FALSE,1.4983
4578,FALSE,1.525
3677,FALSE,1.5325
3672,FALSE,1.545
4453,FALSE,1.5496
3725,FALSE,1.56
3594,FALSE,1.5649
4318,FALSE,1.565
3547,FALSE,1.5761
5250,FALSE,1.5917
4454,FALSE,1.5985
3684,FALSE,1.6006
4547,FALSE,1.602
5125,FALSE,1.6134
3633,FALSE,1.6221
4966,FALSE,1.6251
5265,FALSE,1.6353
4759,FALSE,1.6363
3511,FALSE,1.6529
3471,FALSE,1.6563
3680,FALSE,1.6608
3651,FALSE,1.6673
3599,FALSE,1.6773
3721,FALSE,1.6777
3193,FALSE,1.68
4471,FALSE,1.6812
3673,FALSE,1.6846
4562,FALSE,1.689
3598,FALSE,1.6911
3663,FALSE,1.6962
3565,FALSE,1.7413
5190,FALSE,1.7443
4784,FALSE,1.7459
4954,FALSE,1.7784
4299,FALSE,1.7896
3713,FALSE,1.7905
4003,FALSE,1.807
4307,FALSE,1.807
3742,FALSE,1.8092
3676,FALSE,1.8098
4270,FALSE,1.8337
5115,FALSE,1.8397
5247,FALSE,1.8519
4962,FALSE,1.8653
3451,FALSE,1.8691
5222,FALSE,1.8724
4288,FALSE,1.873
4267,FALSE,1.8898
3724,FALSE,1.8973
3963,FALSE,1.9003
4462,FALSE,1.9036
3586,FALSE,1.9106
4446,FALSE,1.9195
4823,FALSE,1.9513
4443,FALSE,1.968
4001,FALSE,1.972
4561,FALSE,1.989
3181,FALSE,1.99
3184,FALSE,2.01
4812,FALSE,2.016
4317,FALSE,2.036
5146,FALSE,2.0387
3647,FALSE,2.0513
3646,FALSE,2.0595
5197,FALSE,2.0721
4460,FALSE,2.0729
3940,FALSE,2.0882
3941,FALSE,2.0882
5154,FALSE,2.1005
3553,FALSE,2.1314
4577,FALSE,2.137
4542,FALSE,2.172
3708,FALSE,2.1762
5134,FALSE,2.1834
4783,FALSE,2.1846
3580,FALSE,2.2112
4312,FALSE,2.227
3966,FALSE,2.2384
4000,FALSE,2.263
3683,FALSE,2.2677
4592,FALSE,2.272
3615,FALSE,2.2727
4314,FALSE,2.2732
3972,FALSE,2.275
5114,FALSE,2.2874
4276,FALSE,2.293
3512,FALSE,2.298
4546,FALSE,2.298
5118,FALSE,2.3
4254,FALSE,2.3159
5266,FALSE,2.3246
4789,FALSE,2.3615
4272,FALSE,2.3695
3728,FALSE,2.41
3977,FALSE,2.4646
4332,FALSE,2.4689
4955,FALSE,2.4709
4291,FALSE,2.48
3437,FALSE,2.57
4195,FALSE,2.649
4303,FALSE,2.66
4456,FALSE,2.6896
4559,FALSE,2.714
4973,FALSE,2.7346
4302,FALSE,2.7358
5225,FALSE,2.7384
3999,FALSE,2.76
3521,FALSE,2.8583
3737,FALSE,2.87
4323,FALSE,2.8706
4246,FALSE,2.9226
4088,FALSE,2.9829
4236,FALSE,3.003
4194,FALSE,3.012
3701,FALSE,3.0245
3475,FALSE,3.0387
3476,FALSE,3.0463
3473,FALSE,3.0508
4465,FALSE,3.097
3452,FALSE,3.1911
4319,FALSE,3.2189
5210,FALSE,3.2483
5220,FALSE,3.2773
4262,FALSE,3.287
4010,FALSE,3.321
3740,FALSE,3.3617
3726,FALSE,3.3652
3474,FALSE,3.3743
3686,FALSE,3.3952
4268,FALSE,3.449
4583,FALSE,3.481
4573,FALSE,3.509
5002,FALSE,3.51
4015,FALSE,3.514
5132,FALSE,3.5675
3445,FALSE,3.5802
5223,FALSE,3.6558
4457,FALSE,3.701
4478,FALSE,3.844
4444,FALSE,3.858
4334,FALSE,3.859
5262,FALSE,3.8638
3551,FALSE,3.8757
4239,FALSE,3.9149
4006,FALSE,3.941
4565,FALSE,4.066
4244,FALSE,4.0963
3432,FALSE,4.27
4298,FALSE,4.302
5226,FALSE,4.3188
3462,FALSE,4.4248
4261,FALSE,4.592
3194,FALSE,4.61
4279,FALSE,4.6885
5112,FALSE,4.7314
3681,FALSE,4.7984
5014,FALSE,4.816
4242,FALSE,4.895
4448,FALSE,4.9508
3648,FALSE,5.1843
4463,FALSE,5.1911
4560,FALSE,5.277
5003,FALSE,5.365
3958,FALSE,5.3742
3960,FALSE,5.3742
4238,FALSE,5.395
4252,FALSE,5.401
4964,FALSE,5.5429
4253,FALSE,5.6981
4259,FALSE,5.72
4292,FALSE,5.789
3177,FALSE,5.85
3458,FALSE,5.88
4249,FALSE,5.884
4258,FALSE,6.056
4007,FALSE,6.111
5119,FALSE,6.2209
5006,FALSE,6.254
4260,FALSE,6.51
4247,FALSE,6.543
5260,FALSE,6.5505
3636,FALSE,6.5866
4450,FALSE,6.91
3649,FALSE,7.1231
5000,FALSE,7.37
4257,FALSE,7.472
3455,FALSE,7.8596
4325,FALSE,7.927
4445,FALSE,8.292
4579,FALSE,8.335
4237,FALSE,8.339
3705,FALSE,8.663
4240,FALSE,8.857
4234,FALSE,9.131
4459,FALSE,9.183
4451,FALSE,9.238
4290,FALSE,9.3637
3442,FALSE,9.37
3513,FALSE,9.6291
4449,FALSE,10.794
3450,FALSE,10.8649
4256,FALSE,11.2865
4466,FALSE,11.3478
4255,FALSE,12.587
4999,FALSE,12.637
4280,FALSE,12.7143
3712,FALSE,13.6585
4589,FALSE,14.833
3706,FALSE,15.0485
5249,FALSE,15.3019
3446,FALSE,15.4913
5258,FALSE,15.9716
5248,FALSE,16.0463
5244,FALSE,16.9811
4316,FALSE,17.277
4585,FALSE,17.557
4243,FALSE,18.814
4458,FALSE,19.2068
3704,FALSE,19.5322
4442,FALSE,34.8101
5243,FALSE,113.3936
5246,FALSE,121.0469
5245,FALSE,143.8183
