Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER
0,3150105,304,959673.50388,1294841.92457,1339558.8920396100,-1081702.5681600400
0,3150106,305,913773.27403,1236216.83742,1295702.3443528200,-1142980.9125560000
0,3150107,306,892446.14328,1150708.74405,1277771.9551722100,-1229629.6617483100
0,3150108,307,979631.21662,1225621.83909,1362769.5566600300,-1149630.7297720700
0,3150109,308,952302.03533,1156057.43339,1338088.6709993900,-1220783.8444109700
0,3150110,309,954082.57329,1091395.41559,1342568.0361617000,-1285352.9202993500
0,3150201,310,879439.32086,1080334.55002,1267526.9235118400,-1300715.9812765100
0,3150202,311,834187.25577,1145298.72915,1219065.8588127800,-1238395.5130209200
0,3150203,312,822953.21711,1041471.61519,1211969.4794907200,-1342768.1571400200
0,3150204,313,803520.11727,973323.74257,1195032.2289329500,-1412008.8107723800
0,3160101,314,691239.75347,1265997.04197,1069273.8273722500,-1126214.8461517100
0,3160102,315,661005.26751,1268382.36376,1038575.4428143500,-1125549.9599314400
0,3160103,316,727494.24711,1249771.43051,1106663.9922715900,-1140310.8881758400
0,3160104,317,656919.35268,1207684.16205,1037063.0476048100,-1186213.0856247800
0,3160105,318,726897.32847,1211078.30805,1107728.8341541100,-1178897.7157201300
0,3160106,319,725963.19337,1147640.26896,1109474.2628084500,-1242194.5588924000
0,3160107,320,755066.11449,1193082.24947,1136999.5483707300,-1195237.2306202500
0,3160108,321,679160.58948,1140069.10361,1062433.5876063700,-1252351.8809458500
0,3160109,322,850324.54820,1275361.70888,1229815.5029888800,-1107678.5910441300
0,3160110,323,802294.91951,1270513.44065,1181439.8190497800,-1115328.1730288400
0,3160111,324,857910.33692,1240613.50047,1239004.6326825900,-1141890.5053410800
0,3160112,325,795218.32217,1187864.90515,1177845.8715793000,-1198148.0231354100
0,3160113,326,778242.32006,1121689.99191,1163452.9462284100,-1265146.6835473500
0,3160201,327,744571.21595,1040060.51888,1132736.4878503900,-1348537.1677013100
0,3160202,328,703566.36396,1086285.66784,1089362.9518360700,-1304647.2973303600
0,3160203,329,754512.77383,972511.05620,1145496.4836268500,-1415508.6107275100
0,3160204,330,761145.10786,902593.93657,1154936.8452232600,-1485114.9946581700
0,3160205,331,770257.24274,853608.75665,1166025.5234384300,-1533699.4998922900
0,3170001,332,662081.92384,1064988.77689,1048262.0984007800,-1328172.3366447900
0,3170002,333,686843.25925,1013335.02830,1075412.7126734000,-1378390.6043335200
0,3170003,334,699001.20987,941328.63780,1090576.4435536800,-1449696.8110565100
0,3170004,335,613439.32573,990850.83042,1002050.1280939400,-1404788.3114032900
0,3170005,336,658592.97629,966124.30575,1048720.5008851700,-1427075.8091621000
0,3170006,337,703256.46332,851855.77688,1098346.7278237700,-1539015.1055070200
0,3170007,338,648356.19423,904048.33963,1040809.6474076500,-1489675.9816016300
0,3170008,339,724689.95465,900829.83712,1118138.4102685600,-1488838.7377501000
0,3170009,340,654101.97352,852999.09256,1048596.7633598800,-1540454.8186744700
0,3180001,341,623692.17866,1106332.51905,1007709.8238112200,-1289029.2591169300
0,3180002,342,567773.30587,1034122.68678,954091.4167814470,-1364036.1819310100
0,3180003,343,558990.26134,965637.60005,947969.0103580110,-1432836.9585998000
0,3180004,344,594727.10192,884857.75196,987313.2017608480,-1511679.8800286400
0,3180005,345,547063.22137,913216.47992,937984.7375063430,-1485811.6886393400
0,4010101,346,407266.35269,2767348.87155,702735.1412139400,352434.3297809670
