Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER,THg
0,17110017,1962,-2046195.368,3013189.431,-1735168.44,528723.9147,0.3035
0,18020003,2001,-2105776.923,2280829.267,-1793815.919,-211570.6729,0.9
0,18020102,2005,-2201043.521,2233238.546,-1889003.262,-259906.2857,1.02
0,18020104,2007,-2205391.422,2105725.071,-1890898.727,-388310.7307,8.545
0,18020108,2011,-2154832.203,2066230.114,-1839003.456,-427703.253,17.82
0,18020109,2012,-2189589.129,2017859.445,-1872914.777,-476618.3343,4.09585
0,18020111,2014,-2153582.547,2028688.413,-1836843.77,-465442.358,3.44945
0,18020119,2022,-2147786.884,2197517.689,-1834677.439,-295607.2809,0.58
0,18020121,2024,-2110568.655,2180150.127,-1796820.467,-312853.8223,1.23
0,18020127,2030,-2133672.193,2052406.571,-1817326.546,-441437.9973,1.9955
0,18030001,2033,-1980468.501,1693702.677,-1652013.009,-799670.2529,0.745
0,18030007,2039,-2009764.94,1737472.5,-1683107.65,-756220.4737,0.693333333
0,18030010,2042,-1995469.442,1782186.997,-1670132.369,-711169.2585,0.76
0,18040001,2045,-2131928.619,1833355.931,-1809593.846,-661564.7854,17.1816
0,18040002,2046,-2150473.739,1908888.33,-1830541.412,-585850.8712,1.8847
0,18040006,2050,-2017909.699,1834692.44,-1694462.203,-658816.8612,0.635
0,18040008,2052,-2057027.946,1884346.168,-1735468.822,-609481.1817,0.645
0,18040009,2053,-2058797.786,1917470.249,-1738212.091,-576254.7497,0.91
0,18040013,2057,-2106638.594,2005231.089,-1788878.243,-488614.0648,1.8456
0,18070203,2088,-1943089.409,1436856.615,-1604577.433,-1056617.389,2.99
